,matlab,python,delta
205601_s_at,-80.54197099999999,81.81140610063774,-1.2694351006377502
205602_x_at,-197.92359,195.99777507148028,1.9258149285197135
205603_s_at,-188.50653,190.5767046461033,-2.070174646103311
205604_at,-134.08836100000002,140.59504191333124,-6.506680913331223
205605_at,-179.106642,179.23717465952103,-0.13053265952103743
205606_at,-198.85368400000002,203.18385986672243,-4.3301758667224135
205607_s_at,-113.84333600000001,114.67404610294398,-0.8307101029439679
205608_s_at,-98.64985,98.41171421290568,0.23813578709432193
205609_at,-150.249021,157.38525003430837,-7.136229034308371
205610_at,-192.37098999999998,194.04235664222122,-1.671366642221244
205611_at,-122.152717,121.50744861981698,0.6452683801830119
205612_at,-198.887734,199.03818548433384,-0.1504514843338427
205613_at,-158.833594,155.7581480385983,3.075445961401698
205614_x_at,-161.173419,167.26386062194425,-6.090441621944251
205615_at,-200.906145,199.24370295219111,1.662442047808895
205616_at,-182.93688600000002,181.48746126003132,1.4494247399686913
205617_at,-174.181884,173.90354937488087,0.278334625119129
205618_at,-182.169328,181.62894706409062,0.5403809359093827
205619_s_at,-191.288845,192.28455619012234,-0.9957111901223357
205620_at,-182.566298,182.91382356395994,-0.34752556395994816
205621_at,-86.48371800000001,86.49171782832354,-0.007999828323534075
205622_at,-156.35859299999998,164.62271442812852,-8.264121428128533
205623_at,-164.389297,163.26106634919708,1.1282306508029194
205624_at,-152.415676,152.76352196807377,-0.3478459680737842
205625_s_at,-223.552921,263.59818103168,-40.04526003167999
205626_s_at,-203.480307,231.9059802433316,-28.4256732433316
205627_at,-179.711019,183.9349667125867,-4.223947712586693
205628_at,-191.7341,193.279361497139,-1.5452614971389949
205629_s_at,-168.74221599999998,169.0307403430304,-0.2885243430304172
205630_at,-184.750182,181.89472584417993,2.8554561558200646
205631_at,-169.19428,168.81139813234626,0.38288186765373666
205632_s_at,-139.52961499999998,138.4674131427325,1.0622018572674676
205633_s_at,-126.83453,124.27222316236653,2.5623068376334714
205634_x_at,-178.356925,172.38181841467244,5.975106585327552
