hsa:1	A1BG
hsa:100422859	MIR3136
hsa:100422860	MIR4292
hsa:100422861	MIR4306
hsa:100422862	MIR548S
hsa:100422863	MIR4265
hsa:100422864	MIR544B
hsa:100422865	MIR4320
hsa:100422866	MIR3115
hsa:100422867	MIR378C
hsa:100422868	MIR4270
hsa:100422869	MIR3152
hsa:100422870	MIR3180-1
hsa:100422871	MIR3117
hsa:100422872	MIR1244-3
hsa:100422873	MIR4297
hsa:100422874	MIR4279
hsa:100422875	MIR3192
hsa:100422876	MIR3148
hsa:100422877	MIR3202-2
hsa:100422878	MIR3168
hsa:100422879	MIR3124
hsa:100422880	MIR3162
hsa:100422881	MIR3170
hsa:100422882	MIR3120
hsa:100422883	MIR4325
hsa:100422884	MIR548U
hsa:100422885	MIR1244-2
hsa:100422886	MIR3179-2
hsa:100422887	MIR4280
hsa:100422888	MIR4264
hsa:100422889	MIR3194
hsa:100422891	MIR4327
hsa:100422892	MIR3157
hsa:100422893	MIR3154
hsa:100422894	MIR4260
hsa:100422895	MIR4294
hsa:100422896	MIR3140
hsa:100422897	MIR4302
hsa:100422898	MIR4255
hsa:100422899	MIR3190
hsa:100422900	MIR3158-1
hsa:100422901	MIR3135A
hsa:100422902	MIR3116-1
hsa:100422903	MIR4288
hsa:100422904	MIR3193
hsa:100422905	MIR4311
hsa:100422907	MIR3156-2
hsa:100422908	MIR3129
hsa:100422909	MIR4295
hsa:100422910	MIR2861
hsa:100422911	MIR500B
hsa:100422912	MIR3200
hsa:100422913	MIR320E
hsa:100422914	MIR4253
hsa:100422915	MIR3065
hsa:100422916	MIR3201
hsa:100422917	MIR4283-1
hsa:100422918	MIR3167
hsa:100422919	MIR1302-11
hsa:100422920	MIR548X
hsa:100422921	MIR3149
hsa:100422922	MIR1972-2
hsa:100422923	MIR548W
hsa:100422924	MIR4303
hsa:100422925	MIR4322
hsa:100422926	MIR3137
hsa:100422927	MIR4291
hsa:100422928	MIR3127
hsa:100422929	MIR4261
hsa:100422930	MIR4330
hsa:100422931	MIR4304
hsa:100422932	MIR4328
hsa:100422933	MIR378B
hsa:100422934	MIR3143
hsa:100422935	MIR3118-4
hsa:100422936	MIR3153
hsa:100422937	MIR4275
hsa:100422938	MIR3142
hsa:100422939	MIR3147
hsa:100422940	MIR4305
hsa:100422941	MIR4272
hsa:100422942	MIR3133
hsa:100422943	MIR3189
hsa:100422944	MIR3186
hsa:100422945	MIR4326
hsa:100422946	MIR3116-2
hsa:100422947	MIR3122
hsa:100422948	MIR4284
hsa:100422949	MIR3118-2
hsa:100422950	MIR3141
hsa:100422951	MIR3144
hsa:100422952	MIR4271
hsa:100422953	MIR3165
hsa:100422954	MIR4309
hsa:100422955	MIR4273
hsa:100422956	MIR3180-2
hsa:100422957	MIR3131
hsa:100422959	MIR4268
hsa:100422960	MIR3179-1
hsa:100422961	MIR4315-2
hsa:100422962	MIR4281
hsa:100422963	MIR4290
hsa:100422964	MIR3150A
hsa:100422965	MIR4263
hsa:100422966	MIR4277
hsa:100422967	MIR3146
hsa:100422968	MIR4251
hsa:100422969	MIR2909
hsa:100422971	MIR4312
hsa:100422972	MIR3181
hsa:100422973	MIR3169
hsa:100422974	MIR3178
hsa:100422975	MIR4252
hsa:100422976	MIR4256
hsa:100422977	MIR1184-3
hsa:100422978	MIR3185
hsa:100422979	MIR4324
hsa:100422980	MIR4323
hsa:100422981	MIR3173
hsa:100422982	MIR4286
hsa:100422983	MIR4314
hsa:100422984	MIR4308
hsa:100422985	MIR1184-2
hsa:100422986	MIR3125
hsa:100422987	MIR3202-1
hsa:100422988	MIR3156-1
hsa:100422989	MIR3155A
hsa:100422990	MIR3134
hsa:100422991	MIR1260B
hsa:100422992	MIR3151
hsa:100422993	MIR3130-1
hsa:100422994	MIR4267
hsa:100422995	MIR3175
hsa:100422996	MIR4262
hsa:100422997	MIR4257
hsa:100422998	MIR3199-2
hsa:100422999	MIR4278
hsa:100423000	MIR3161
hsa:100423001	MIR3145
hsa:100423002	MIR3130-2
hsa:100423003	MIR3184
hsa:100423004	MIR4315-1
hsa:100423005	MIR4282
hsa:100423006	MIR3179-3
hsa:100423008	MIR3118-1
hsa:100423009	MIR4329
hsa:100423010	MIR3119-2
hsa:100423011	MIR3138
hsa:100423012	MIR3177
hsa:100423013	MIR4310
hsa:100423014	MIR3196
hsa:100423015	MIR4289
hsa:100423016	MIR3159
hsa:100423017	MIR3139
hsa:100423018	MIR3156-3
hsa:100423019	MIR4307
hsa:100423020	MIR4258
hsa:100423021	MIR4298
hsa:100423023	MIR3197
hsa:100423025	MIR3198-1
hsa:100423026	MIR4299
hsa:100423027	MIR4266
hsa:100423028	MIR4254
hsa:100423029	MIR3163
hsa:100423030	MIR3126
hsa:100423031	MIR4321
hsa:100423032	MIR3121
hsa:100423033	MIR3158-2
hsa:100423034	MIR3199-1
hsa:100423035	MIR4313
hsa:100423036	MIR2355
hsa:100423037	MIR3176
hsa:100423038	MIR466
hsa:100423039	MIR3132
hsa:100423040	MIR3166
hsa:100423041	MIR4296
hsa:100423042	MIR4276
hsa:100423043	MIR4269
hsa:100423062	IGLL5
hsa:10043	TOM1
hsa:100431172	KLRF2
hsa:10044	SH2D3C
hsa:10045	SH2D3A
hsa:10046	MAMLD1
hsa:100462977	MTRNR2L1
hsa:100462981	MTRNR2L2
hsa:100462983	MTRNR2L3
hsa:100463285	MTRNR2L4
hsa:100463289	MTRNR2L5
hsa:100463482	MTRNR2L6
hsa:100463486	MTRNR2L8
hsa:100463487	MTRNR2L9
hsa:100463488	MTRNR2L10
hsa:10047	CST8
hsa:10048	RANBP9
hsa:10049	DNAJB6
hsa:100499483	CCDC180
hsa:1005	CDH7
hsa:10050	SLC17A4
hsa:100500801	MIR3659
hsa:100500802	MIR3685
hsa:100500803	MIR3919
hsa:100500804	MIR3654
hsa:100500807	MIR374C
hsa:100500808	MIR3917
hsa:100500809	MIR23C
hsa:100500810	MIR3620
hsa:100500811	MIR3621
hsa:100500812	MIR3677
hsa:100500813	MIR3646
hsa:100500814	MIR3616
hsa:100500816	MIR3649
hsa:100500817	MIR3612
hsa:100500818	MIR3945
hsa:100500819	MIR3609
hsa:100500820	MIR3655
hsa:100500821	MIR3910-1
hsa:100500822	MIR3937
hsa:100500823	MIR3920
hsa:100500824	MIR3650
hsa:100500825	MIR3660
hsa:100500826	MIR3909
hsa:100500827	MIR3614
hsa:100500828	MIR3619
hsa:100500829	MIR3943
hsa:100500830	MIR550B2
hsa:100500831	MIR3912
hsa:100500832	MIR3658
hsa:100500834	MIR3924
hsa:100500835	MIR3907
hsa:100500836	MIR3914-1
hsa:100500837	MIR3606
hsa:100500838	MIR3926-2
hsa:100500839	MIR3686
hsa:100500841	MIR3678
hsa:100500842	MIR3652
hsa:100500843	MIR3922
hsa:100500844	MIR3664
hsa:100500845	MIR642B
hsa:100500846	MIR3689A
hsa:100500847	MIR3615
hsa:100500849	MIR3916
hsa:100500850	MIR3682
hsa:100500851	MIR3918
hsa:100500852	MIR3180-4
hsa:100500853	MIR3605
hsa:100500854	MIR3671
hsa:100500855	MIR3713
hsa:100500856	MIR548Z
hsa:100500857	MIR3939
hsa:100500858	MIR3622A
hsa:100500859	MIR3921
hsa:100500860	MIR3618
hsa:100500861	MIR3665
